index_code,name,market,category,methodology_summary,methodology_url,fallback_div_yield_pct,inception_date,base_date,base_value,launch_date,weighting_method,rebalancing_frequency
000300,沪深300指数,A,宽基,沪深300指数由沪深市场中规模大、流动性好的最具代表性的300只证券组成，于2005年4月8日正式发布，以反映沪深市场上市公司证券的整体表现。,,,2005-04-08,2004-12-31,1000.0,2005-04-08,见指数简介/编制方案,每半年
H30269,中证红利低波动指数,A,A股红利,中证红利低波动指数选取50只流动性好、连续分红、红利支付率适中、每股股息正增长以及股息率高且波动率低的证券作为指数样本，采用股息率加权，以反映分红水平高且波动率低的证券的整体表现。,,,2013-12-19,2005-12-30,1000.0,2013-12-19,见指数简介/编制方案,每年
930955,中证红利低波动100指数,A,A股红利,中证红利低波动100指数选取100只流动性好、连续分红、股息率高且波动率低的上市公司证券作为指数样本，采用股息率/波动率加权，以反映股息率高且波动率低的上市公司证券的整体表现。,,,2017-05-26,2005-12-30,1000.0,2017-05-26,见指数简介/编制方案,每季度
SPCLLHCP.SPI,标普中国A股大盘红利低波50指数,A,A股红利,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index，Price Return ticker 为 SPCLLHCP，Total Return ticker 为 SPCLLHCT；跟踪产品：南方红利低波50ETF（515450）。S&P 指数行情需接入 S&P DJI 授权下载或可验证第三方历史数据源；当前脚本不使用单日行情填充历史。,https://www.spglobal.com/spdji/en/indices/dividends-factors/sp-china-a-share-largecap-low-volatility-high-dividend-50-index/,,2015-08-25,2009-01-23,,2019-04-01,股息率驱动的低波动高股息策略权重,每半年（1 月、7 月）
000922,中证红利指数,A,A股红利,中证红利指数选取100只现金股息率高、分红较为稳定，并具有一定规模及流动性的上市公司证券作为指数样本，以反映高股息率上市公司证券的整体表现。,,,2008-05-26,2004-12-31,1000.0,2008-05-26,见指数简介/编制方案,每年
000015,上证红利指数,A,A股红利,上证红利指数选取在上海证券交易所上市的现金股息率高、分红比较稳定、具有一定规模及流动性的50只证券作为指数样本，以反映沪市高股息率证券的整体表现。,,,2005-01-04,2004-12-31,1000.0,2005-01-04,见指数简介/编制方案,每年
931468,中证红利质量指数,A,A股红利,中证红利质量指数选取50只连续现金分红、股利支付率较高且兼具较高盈利能力特征的上市公司证券作为指数样本，以反映分红预期较高、盈利能力较强的上市公司证券的整体表现。,,,2020-05-21,2004-12-31,1000.0,2020-05-21,见指数简介/编制方案,每半年
000825,中证中央企业红利指数,A,A股红利,中证中央企业红利指数从中央企业中选取现金股息率高、分红比较稳定且有一定规模及流动性的50只证券作为指数样本，反映中央企业中高股息率证券的整体表现。,,,2012-07-20,2008-12-31,1000.0,2012-07-20,见指数简介/编制方案,每年
931157,中证沪港深红利成长低波动指数,A,A股红利,中证沪港深红利成长低波动指数从内地市场证券以及符合港股通条件的香港市场证券中选取100只连续现金分红、盈利稳定增长且兼具低波动特征的证券作为指数样本，采用预期股息率加权，以反映内地与香港市场连续现金分红、盈利稳定增长且兼具低波动特征上市公司证券的整体表现。,,,2019-04-25,2014-11-14,3000.0,2019-04-25,见指数简介/编制方案,每半年
930914,中证港股通高股息投资指数,H,港股红利,中证港股通高股息投资指数从符合港股通条件的香港上市公司证券中选取 30只流动性好、连续分红、股息率高的上市公司证券作为指数样本，采用股息率加权，以反映港股通范围内连续分红且股息率较高的上市公司证券的整体表现。,,,2016-11-25,2014-11-14,3000.0,2016-11-25,见指数简介/编制方案,每年
931233,中证港股通央企红利指数,H,港股红利,中证港股通央企红利指数从港股通范围内选取中央企业实际控制的分红水平稳定且股息率较高的上市公司证券作为指数样本，以反映港股通范围内股息率较高的央企上市公司证券的整体表现。,,,2017-06-28,2014-11-14,1000.0,2017-06-28,见指数简介/编制方案,每年
932365,中证全指自由现金流指数,A,现金流,中证全指自由现金流指数选取100只自由现金流率较高的上市公司证券作为指数样本，以反映现金流创造能力较强的上市公司证券的整体表现。 定位差异：以中证全指为宽样本空间，选取100只自由现金流率较高证券，覆盖面最广，更偏全市场现金流质量暴露。,,,2024-12-11,2013-12-31,1000.0,2024-12-11,自由现金流率筛选,每季度
932366,沪深300自由现金流指数,A,现金流,沪深300自由现金流指数从沪深300指数样本中选取50只自由现金流率较高的上市公司证券作为指数样本，以反映沪深300指数样本中现金流创造能力较强的上市公司证券的整体表现。 定位差异：以沪深300为样本空间，选取50只自由现金流率较高证券，更偏大盘龙头中的现金流创造能力。,,,2024-11-12,2013-12-31,1000.0,2024-11-12,自由现金流率筛选,每季度
932367,中证500自由现金流指数,A,现金流,中证500自由现金流指数从中证500指数样本中选取50只自由现金流率较高的上市公司证券作为指数样本，以反映中证500指数样本中现金流创造能力较强的上市公司证券的整体表现。 定位差异：以中证500为样本空间，选取50只自由现金流率较高证券，更偏中盘公司中的现金流质量与成长弹性。,,,2024-11-12,2013-12-31,1000.0,2024-11-12,自由现金流率筛选,每季度
932368,中证800自由现金流指数,A,现金流,中证800自由现金流指数从中证800指数样本中选取50只自由现金流率较高的上市公司证券作为指数样本，以反映中证800指数样本中现金流创造能力较强的上市公司证券的整体表现。 定位差异：以中证800为样本空间，选取50只自由现金流率较高证券，覆盖沪深300与中证500，更偏大中盘核心池的现金流筛选。,,,2024-12-11,2013-12-31,1000.0,2024-12-11,自由现金流率筛选,每季度
HSI114,恒生港股通高股息低波动指数,H,港股红利,恒生港股通高股息低波动指数旨在反映可通过港股通买卖的香港上市高股息低波动证券的表现；从合资格港股通恒生综合指数成份股中先筛选净股息率较高证券，再选取年化波幅较低的50只证券。跟踪产品为富国恒生港股通高股息低波动ETF（513950）。,https://www.hsi.com.hk/static/uploads/contents/zh_cn/dl_centre/methodologies/IM_hshylvc.pdf,,2017-05-08,2010-09-03,3000,2017-05-08,净股息率加权；单只成份股5%上限,每半年
